Environment Type,Scenario,TImesteps,Time,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
GRF,raw_gf_academy_empty_goal,10000,28.63222149,,,
GRF,raw_gf_academy_empty_goal,10000,32.33189439,,,
GRF,raw_gf_academy_empty_goal_close,10000,31.519931,,,
GRF,raw_gf_academy_empty_goal_close,10000,31.65871469,,,
GRF,raw_gf_academy_pass_and_shoot_with_keeper,10000,36.60865275,,,
GRF,raw_gf_academy_pass_and_shoot_with_keeper,10000,39.88997121,,GRF,74.2757438
GRF,raw_gf_academy_run_pass_and_shoot_with_keeper,10000,39.67564315,,SC4RL,222.0658444
GRF,raw_gf_academy_run_pass_and_shoot_with_keeper,10000,35.57170635,,,
GRF,raw_gf_academy_run_to_score_with_keeper,10000,48.0222213,,SppedDown,2.989749184
GRF,raw_gf_academy_run_to_score_with_keeper,10000,47.46776266,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/empty_goal_close.scenic,10000,74.31199362,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/empty_goal_close.scenic,10000,77.4749971,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/empty_goal.scenic,10000,61.55107465,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/empty_goal.scenic,10000,63.57362887,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/pass_n_shoot.scenic,10000,116.1731765,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/pass_n_shoot.scenic,10000,116.0336179,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/rts_with_keeper.scenic,10000,170.7746024,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/rts_with_keeper.scenic,10000,177.2632933,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/run_pass_shoot.scenic,10000,125.3149223,,,
Scenic4RL,scenic_/home/ubuntu/ScenicGFootBall/training/gfrl/_scenarios/academy/run_pass_shoot.scenic,10000,127.8579154,,,
